Analyzing 91 files...

# Python (Standard) Analysis
------------------------------------------------------------------------------
Model                | Temp  | Before %   | After %    | Delta %    | Samples 
gemini-2.5-flash     | 1.0   | 2.78       | 71.35      | 68.57      | 4600    
gpt-4o-mini          | 0.0   | 0.00       | 75.46      | 75.46      | 5750    
gpt-4o-mini          | 0.2   | 0.00       | 75.41      | 75.41      | 5750    
gpt-4o-mini          | 0.4   | 0.00       | 74.70      | 74.70      | 5750    
gpt-4o-mini          | 0.6   | 0.00       | 74.10      | 74.10      | 5750    
gpt-4o-mini          | 0.8   | 0.00       | 72.90      | 72.90      | 5750    
gpt-4o-mini          | 1.0   | 0.00       | 71.81      | 71.81      | 5750    
qwen2.5              | 0.0   | 0.00       | 72.35      | 72.35      | 575     
qwen2.5              | 0.2   | 0.09       | 73.50      | 73.41      | 5750    
qwen2.5              | 0.4   | 1.15       | 73.93      | 72.78      | 5750    
starcoder2           | 0.0   | 0.87       | 89.57      | 88.70      | 575     
starcoder2           | 0.2   | 0.97       | 89.01      | 88.03      | 5750    
starcoder2           | 0.4   | 0.78       | 87.03      | 86.24      | 5750    
starcoder2           | 0.6   | 1.30       | 83.11      | 81.81      | 5750    
starcoder2           | 0.8   | 1.83       | 79.27      | 77.44      | 5750    
starcoder2           | 1.0   | 1.72       | 76.47      | 74.75      | 5750    
